Sample,X(ms) [09.03.2026 23:32:18 281 UTC],"SP X_2[%QD48]","SP Y_2[%QD52]","SP Z_2[%QD56]","SP X_1[%QD36]","SP Y_1[%QD40]","SP Z_1[%QD44]","Box Weight[%ID32]"
4,1773099138539.869200,0,0,0,0,0,0,0
5,1773099138603.415100,0,0,0,0,0,0,0
6,1773099138668.039100,0,0,0,0,0,0,0
7,1773099138732.765000,0,0,0,0,0,0,0
8,1773099138796.734800,0,0,0,0,0,0,0
9,1773099138861.352300,0,0,0,0,0,0,0
10,1773099138928.335100,0,0,0,0,0,0,0
11,1773099138991.586300,0,0,0,0,0,0,0
12,1773099139055.843200,0,0,0,0,0,0,0
13,1773099139120.476200,0,0,0,0,0,0,0
14,1773099139185.085600,0,0,0,0,0,0,0
15,1773099139249.347000,0,0,0,0,0,0,0
16,1773099139313.642400,0,0,0,0,0,0,0
17,1773099139378.281400,0,0,0,0,0,0,0
18,1773099139445.748100,0,0,0,0,0,0,0
19,1773099139506.957000,0,0,0,0,0,0,0
20,1773099139571.842200,0,0,0,0,0,0,0
21,1773099139635.980800,0,0,0,0,0,0,0
22,1773099139700.627100,0,0,0,0,0,0,0
23,1773099139765.240600,0,0,0,0,0,0,0
24,1773099139829.535700,0,0,0,0,0,0,0
25,1773099139894.024100,0,0,0,0,0,0,0
26,1773099139960.005500,0,0,0,0,0,0,0
27,1773099140022.933800,0,0,0,0,0,0,0
28,1773099140087.212900,0,0,0,0,0,0,0
29,1773099140152.443800,0,0,0,0,0,0,0
30,1773099140216.302400,0,0,0,0,0,0,0
31,1773099140280.854600,0,0,0,0,0,0,0
32,1773099140345.073100,0,0,0,0,0,0,0
33,1773099140411.262300,0,0,0,0,0,0,0
34,1773099140475.551300,0,0,0,0,0,0,0
35,1773099140538.297600,0,0,0,0,0,0,0
36,1773099140603.324100,0,0,0,0,0,0,0
37,1773099140668.095600,0,0,0,0,0,0,0
38,1773099140732.379900,0,0,0,0,0,0,0
39,1773099140797.208700,0,0,0,0,0,0,0
40,1773099140861.038400,0,0,0,0,0,0,0
41,1773099140926.737800,0,0,0,0,0,0,0
42,1773099140990.109300,0,0,0,0,0,0,0
43,1773099141055.775900,0,0,0,0,0,0,0
44,1773099141118.706100,0,0,0,0,0,0,0
45,1773099141183.851700,0,0,0,0,0,0,0
46,1773099141248.964400,0,0,0,0,0,0,0
47,1773099141313.296700,0,0,0,0,0,0,0
48,1773099141377.633400,0,0,0,0,0,0,0
49,1773099141445.226000,0,0,0,0,0,0,0
50,1773099141506.583900,0,0,0,0,0,0,0
51,1773099141571.188500,0,0,0,0,0,0,0
52,1773099141636.494300,0,0,0,0,0,0,0
53,1773099141700.364700,0,0,0,0,0,0,0
54,1773099141764.716700,0,0,0,0,0,0,0
55,1773099141829.143400,0,0,0,0,0,0,0
56,1773099141893.676500,0,0,0,0,0,0,0
57,1773099141958.390400,0,0,0,0,0,0,0
58,1773099142022.736200,0,0,0,0,0,0,0
59,1773099142087.244900,0,0,0,0,0,0,0
60,1773099142154.207000,0,0,0,0,0,0,0
61,1773099142216.666100,0,0,0,0,0,0,0
62,1773099142280.366000,0,0,0,0,0,0,0
63,1773099142344.720400,0,0,0,0,0,0,0
64,1773099142412.277600,0,0,0,0,0,0,0
65,1773099142474.749600,0,0,0,0,0,0,0
66,1773099142540.547600,0,0,0,0,0,0,0
67,1773099142602.667600,0,0,0,0,0,0,0
68,1773099142667.259500,0,0,0,0,0,0,0
69,1773099142731.798200,0,0,0,0,0,0,0
70,1773099142796.201000,0,0,0,0,0,0,0
71,1773099142860.710700,0,0,0,0,0,0,0
72,1773099142925.175000,0,0,0,0,0,0,0
73,1773099142990.068900,0,0,0,0,0,0,0
74,1773099143057.912300,0,0,0,0,0,0,0
75,1773099143119.389900,0,0,0,0,0,0,0
76,1773099143182.674600,0,0,0,0,0,0,0
77,1773099143247.625700,0,0,0,0,0,0,0
78,1773099143312.463500,0,0,0,0,0,0,0.049407958984375
79,1773099143376.740000,0,0,0,0,0,0,0.00418548565357924
80,1773099143441.276800,0,0,0,0,0,0,0.00364227290265262
81,1773099143508.035500,0,0,0,0,0,0,0
82,1773099143570.406700,0,0,0,0,0,0,0
83,1773099143634.323100,0,0,0,0,0,0,0
84,1773099143698.848000,0,0,0,0,0,0,0
85,1773099143763.347900,0,0,0,0,0,0,0
86,1773099143827.855700,0,0,0,0,0,0,0
87,1773099143892.451000,0,0,0,0,0,0,0
88,1773099143957.239300,0,0,0,0,0,0,0
89,1773099144023.765000,0,0,0,0,0,0,0
90,1773099144086.254800,0,0,0,0,0,0,0
91,1773099144150.476300,0,0,0,0,0,0,0
92,1773099144215.047600,0,0,0,0,0,0,0
93,1773099144279.354700,0,0,0,0,0,0,0
94,1773099144344.712700,0,0,0,0,0,0,0
95,1773099144409.067600,0,0,0,0,0,0,0
96,1773099144475.664300,0,0,0,0,0,0,0.0153656005859375
97,1773099144537.893600,0,0,0,0,0,0,0
98,1773099144602.097400,0,0,0,0,0,0,0
99,1773099144666.479700,0,0,0,0,0,0,0
100,1773099144731.156800,0,0,0,0,0,0,0
101,1773099144796.325600,0,0,0,0,0,0,0
102,1773099144861.014100,0,0,0,0,0,0,0
103,1773099144925.320300,0,0,0,0,0,0,0
104,1773099144991.232000,0,0,0,0,0,0,0
105,1773099145054.305500,0,0,0,0,0,0,0
106,1773099145118.496100,0,0,0,0,0,0,0
107,1773099145182.679000,0,0,0,0,0,0,0
108,1773099145248.776900,0,0,0,0,0,0,0
109,1773099145311.582500,0,0,0,0,0,0,0
110,1773099145376.625600,0,0,0,0,0,0,0
111,1773099145442.115900,0,0,0,0,0,0,0
112,1773099145508.298400,0,0,0,0,0,0,0
113,1773099145569.052000,0,0,0,0,0,0,0.0109069822356105
114,1773099145634.072700,0,0,0,0,0,0,0
115,1773099145698.488600,0,0,0,0,0,0,0
116,1773099145763.216600,0,0,0,0,0,0,0
117,1773099145827.392300,0,0,0,0,0,0,0
118,1773099145891.877300,0,0,0,0,0,0,0
119,1773099145958.400800,0,0,0,0,0,0,0
120,1773099146020.407400,0,0,0,0,0,0,0
121,1773099146085.727500,0,0,0,0,0,0,0
122,1773099146150.089600,0,0,0,0,0,0,0
123,1773099146214.665700,0,0,0,0,0,0,0
124,1773099146279.410700,0,0,0,0,0,0,0
125,1773099146346.133500,0,0,0,0,0,0,0
126,1773099146408.348200,0,0,0,0,0,0,0
127,1773099146472.590500,0,0,0,0,0,0,0
128,1773099146536.749000,0,0,0,0,0,0,0
129,1773099146600.981300,0,0,0,0,0,0,0
130,1773099146665.726200,0,0,0,0,0,0,0
131,1773099146730.534900,0,0,0,0,0,0,0.00292663578875363
132,1773099146795.393200,0,0,0,0,0,0,0
133,1773099146856.978700,0,0,0,0,0,0,0
134,1773099146919.833200,0,0,0,0,0,0,0
135,1773099146983.336400,0,0,0,0,0,0,0
136,1773099147048.693600,0,0,0,0,0,0,0
137,1773099147109.756100,0,0,0,0,0,0,0
