Sample,X(ms) [09.03.2026 23:20:33 132 UTC],"Pallet sensor (front)[%I2.2]","Pallet Loading sensor[%I2.0]","MEDSM_Load Sensor[%I2.1]","Pallet Belt +[%Q5.2]"
3,1773098433325.951000,0,0,0,0
4,1773098433391.937600,0,0,0,0
5,1773098433455.322100,0,0,0,0
6,1773098433518.181400,0,0,0,0
7,1773098433583.239500,0,0,0,0
8,1773098433647.682500,1,1,1,0
9,1773098433711.868600,1,1,1,0
10,1773098433776.980300,0,0,0,0
11,1773098433842.669100,0,0,0,0
12,1773098433906.771400,0,0,0,0
13,1773098433970.379600,0,0,0,0
14,1773098434035.080700,0,0,0,0
15,1773098434099.652700,0,0,0,0
16,1773098434164.191700,0,0,0,0
17,1773098434230.391800,0,0,0,0
18,1773098434293.009500,0,0,0,0
19,1773098434357.924200,0,0,0,0
20,1773098434422.210900,0,0,0,0
21,1773098434486.154300,0,0,0,0
22,1773098434550.697500,0,0,0,0
23,1773098434615.307000,0,0,0,0
24,1773098434681.474500,0,0,0,0
25,1773098434744.152100,0,0,0,0
26,1773098434810.915000,1,1,1,0
27,1773098434874.413500,1,1,1,0
28,1773098434938.476000,0,0,0,0
29,1773098435002.734800,0,0,0,0
30,1773098435066.614900,0,0,0,0
31,1773098435131.488100,0,0,0,0
32,1773098435196.089600,0,0,0,0
33,1773098435262.167100,0,0,0,0
34,1773098435325.293200,0,0,0,0
35,1773098435391.181200,0,0,0,0
36,1773098435455.594200,0,0,0,0
37,1773098435518.243100,0,0,0,0
38,1773098435582.644900,0,0,0,0
39,1773098435647.253000,0,0,0,0
40,1773098435711.757600,0,0,0,0
41,1773098435778.139600,0,0,0,0
42,1773098435840.865000,0,0,0,0
43,1773098435904.989400,1,1,1,0
44,1773098435969.518700,1,1,1,0
45,1773098436033.640600,1,1,1,0
46,1773098436098.077000,0,0,0,0
47,1773098436163.140600,0,0,0,0
48,1773098436229.666800,0,0,0,0
49,1773098436291.001000,0,0,0,0
50,1773098436355.556000,0,0,0,0
51,1773098436420.384000,0,0,0,0
52,1773098436484.895600,0,0,0,0
53,1773098436549.058300,0,0,0,0
54,1773098436614.906500,0,0,0,0
55,1773098436678.824500,0,0,0,0
56,1773098436742.964500,0,0,0,0
57,1773098436808.986400,0,0,0,0
58,1773098436872.023500,0,0,0,0
59,1773098436935.960100,0,0,0,0
60,1773098437000.504500,0,0,0,0
61,1773098437065.079400,0,0,0,0
62,1773098437129.494400,1,1,1,0
63,1773098437194.098700,1,1,1,0
64,1773098437259.665600,1,1,1,0
65,1773098437322.290300,0,0,0,0
66,1773098437386.794800,0,0,0,0
67,1773098437451.533200,0,0,0,0
68,1773098437515.814200,0,0,0,0
69,1773098437583.049700,0,0,0,0
70,1773098437645.783700,0,0,0,0
71,1773098437708.955700,0,0,0,0
72,1773098437773.185800,0,0,0,0
73,1773098437838.089500,0,0,0,0
74,1773098437902.428800,0,0,0,0
75,1773098437968.988200,0,0,0,0
76,1773098438032.626400,0,0,0,0
77,1773098438097.732400,0,0,0,0
78,1773098438160.851200,1,1,1,0
79,1773098438224.497500,0,0,0,0
80,1773098438289.139000,0,0,0,0
81,1773098438353.880400,0,0,0,0
82,1773098438418.443800,0,0,0,0
83,1773098438485.221300,0,0,0,0
84,1773098438547.420200,0,0,0,0
85,1773098438612.901500,0,0,0,0
86,1773098438675.921200,0,0,0,0
87,1773098438740.155600,0,0,0,0
88,1773098438804.773900,0,0,0,0
89,1773098438870.175600,0,0,0,0
90,1773098438935.051300,0,0,0,0
91,1773098438999.896300,0,0,0,0
92,1773098439062.629900,0,0,0,0
93,1773098439128.332000,0,0,0,0
94,1773098439191.517000,1,1,1,0
95,1773098439257.491800,1,1,1,0
96,1773098439320.695800,0,0,0,0
97,1773098439384.933400,0,0,0,0
98,1773098439451.960500,0,0,0,0
99,1773098439513.813400,0,0,0,0
100,1773098439578.747000,0,0,0,0
101,1773098439643.074400,0,0,0,0
102,1773098439706.853200,0,0,0,0
103,1773098439771.580600,0,0,0,0
104,1773098439836.246000,0,0,0,0
105,1773098439902.364800,0,0,0,0
106,1773098439964.754300,0,0,0,0
107,1773098440031.371400,0,0,0,0
108,1773098440094.189800,0,0,0,0
109,1773098440158.882900,0,0,0,0
110,1773098440223.407600,1,1,1,0
111,1773098440288.207800,1,1,1,0
112,1773098440352.893400,0,0,0,0
113,1773098440417.224500,0,0,0,0
114,1773098440484.908300,0,0,0,0
115,1773098440547.757000,0,0,0,0
116,1773098440610.728300,0,0,0,0
117,1773098440675.013000,0,0,0,0
